"i","pi","accuracy"
10854728.6432161,3.14072816747072,-0.0275174478169049
10955226.1306533,3.14060956749492,-0.0312926022967952
11055723.6180905,3.14112917431977,-0.0147530033690835
11156221.1055276,3.14177315673973,0.00574559371129268
11256718.5929648,3.14116726894982,-0.0135404136333617
11357216.080402,3.14101552241817,-0.0183706557551511
11457713.5678392,3.14216652273928,0.0182668223658755
11558211.0552764,3.14191217190329,0.0101705838001731
11658708.5427136,3.14142272841101,-0.00540888643183468
11759206.0301508,3.1417287787351,0.00433299795106201
11859703.5175879,3.14157263246473,-0.000637292203897744
11960201.0050251,3.14209501865483,0.0159907766676071
12060698.4924623,3.14210292411208,0.0162424151872509
12161195.9798995,3.14095127347135,-0.0204157632501922
12261693.4673367,3.14167795032698,0.00271507947049443
12362190.9547739,3.14224558916066,0.020783584724815
12462688.4422111,3.14090913702207,-0.0217570080877971
12563185.9296482,3.14136845709367,-0.00713639611638062
12663683.4170854,3.14116096319432,-0.0137411320649705
12764180.9045226,3.14094952898973,-0.0204712918248307
12864678.3919598,3.14112259699047,-0.0149623662629161
12965175.879397,3.14158915998403,-0.000111204925246078
13065673.3668342,3.14218814808376,0.0189551784598452
13166170.8542714,3.14151019744526,-0.0026246605982494
13266668.3417085,3.1416758847408,0.00264932982052546
13367165.8291457,3.1413614925344,-0.00735808492338119
13467663.3165829,3.14085517328871,-0.0234747270701385
13568160.8040201,3.141452450016,-0.0044628183616835
13668658.2914573,3.14138513703543,-0.00660545708008886
13769155.7788945,3.14125489569214,-0.0107511677959193
13869653.2663317,3.1416874786463,0.00301837529457227
13970150.7537688,3.1420270814299,0.013828267633853
14070648.241206,3.14075792688654,-0.0265701761906989
14171145.7286432,3.14137507668282,-0.00692568804947502
14271643.2160804,3.14196027192412,0.01170165501585
14372140.7035176,3.14171652862741,0.00394306491253715
14472638.1909548,3.14152481393584,-0.00215940325269948
14573135.678392,3.14144278968599,-0.0047703162164181
14673633.1658291,3.14199022688972,0.0126551511848483
14774130.6532663,3.14127234212184,-0.0101958306907624
14874628.1407035,3.14111865910418,-0.0150877130765892
14975125.6281407,3.14094700558715,-0.0205516142234741
15075623.1155779,3.14143379924795,-0.00505649074732384
15176120.6030151,3.14252774128093,0.0297647656538613
15276618.0904523,3.14167021233553,0.00246877155289926
15377115.5778894,3.14130356602482,-0.00920194299023347
15477613.0653266,3.14176247944429,0.00540572484173385
15578110.5527638,3.14100813665871,-0.0186057517806981
15678608.040201,3.14161103292487,0.000585032405542307
15779105.5276382,3.14126424423622,-0.0104535943956541
15879603.0150754,3.14125434701638,-0.0107686326877188
15980100.5025126,3.14178049081144,0.00597904446422159
16080597.9899497,3.14172122402258,0.00409252398274607
16181095.4773869,3.14161572503182,0.000734386808454168
16281592.9648241,3.14204906795817,0.0145281205652159
16382090.4522613,3.14225880695796,0.0212043202802104
16482587.9396985,3.14186219964116,0.00857991729326102
16583085.4271357,3.14200926172276,0.0132610487387108
16683582.9145729,3.14162468987507,0.00101974663204718
16784080.40201,3.14263437356289,0.0331589766071394
16884577.8894472,3.14190075389185,0.00980713720819537
16985075.3768844,3.14147419519945,-0.0037706476747501
17085572.8643216,3.14165011769017,0.00182913912514238
17186070.3517588,3.14194338175009,0.0111640240785915
17286567.839196,3.14169108091303,0.00313303900560946
17387065.3266332,3.14220502273682,0.0194923153493676
17487562.8140704,3.14166065243784,0.00216447055829683
17588060.3015075,3.14153642032169,-0.00178996051699576
17688557.7889447,3.1415662409024,-0.000840741951690926
17789055.2763819,3.14180371760401,0.00671837623444915
17889552.7638191,3.14187664398609,0.00903969507222158
17990050.2512563,3.14189694917905,0.00968602943840491
18090547.7386935,3.14197385402688,0.0121339867742654
18191045.2261307,3.14196371288762,0.011811184285726
18291542.7135678,3.1422574301164,0.0211604940521193
18392040.201005,3.14178978343264,0.00627483778401494
18492537.6884422,3.14082626076252,-0.024395041362002
18593035.1758794,3.14143051134401,-0.00516114798003731
18693532.6633166,3.14172612837643,0.00424863441437218
18794030.1507538,3.14171529610065,0.00390383236734682
18894527.638191,3.14216037240317,0.0180710510869098
18995025.1256281,3.14167691831503,0.00268222950998709
19095522.6130653,3.14170841069061,0.0036846629584586
19196020.1005025,3.14168664568242,0.00299186123053907
19296517.5879397,3.14187322783526,0.00893095561411705
19397015.0753769,3.14146417699869,-0.00408953690919089
19497512.5628141,3.14147847335248,-0.00363446983426829
19598010.0502513,3.1418675591102,0.00875051449107378
19698507.5376884,3.14109360222428,-0.0158852983355051
19799005.0251256,3.14176858488904,0.00560006718404171
19899502.5125628,3.14140335722137,-0.00602549054864454
